# node_title	root_title	cur_relation	conf	neighborhood	node_type	root_type	raw
Anti-Democratic Think Tank Positions	Power & Motivation (Political Philosophy)	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Holonomic system	Constraints (Classical Mechanics)	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
We the corporations	Byfracating legislation & lichpins	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
news.EFF.Patent	Intellectual Property	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Criticism of religion	Religion	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Symbols of Satanism (Documentary)	eyes-symbols-history-s243a	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
MPs (Canadian Politicians)	Canadian Politicians	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Accountability	Social Forces	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
The Afghanistan Media	Media in _ country	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
The MOVE bombing	The Militarization of the Police	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Constraints (Classical Mechanics)	Physics	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Business process	Accounting	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Intellectual Property	copyright	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
addiction	Political Psychology	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Culture (Sociology)	Religion	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Symbols of Satanism (Documentary)	symbols-history	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
1984 images	Collective Moods & dispositions	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Blaming the Victim	philosophy	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
The Militarization of the Police	The Dividing of People's with lines on the map	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Electricity & Magnetism (Physics)	Antenna	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Managerial Science	Accounting	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
news.EFF.Patent	Copyright & Free Speech	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
The Crises in Democracy	Literary Portrayals of Totalitarianism	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Criticism of religion	History by Region / place	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Cynicism on Justice & Inequality	s243a-cynicism	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Arthur Schopenhauer	Intellectuals & Notable Non-Fiction Writers	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
transparency	Illusions	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Constraints (Classical Mechanics)	Electricity & Magnetism (Physics)	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Dec 9, 2013 Stanford pres Bitcoin, Bobby C. Lee, BTC China	Bitcoin 2.0	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Monsanto's connections	Corruption & Retribution	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
George Wilhelm Friedrich Hegel	Intellectuals & Notable Non-Fiction Writers	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
